ID,Branch Name,Tier,Address,Telephone ,Postal Code,FSA,NBHD Number,NBHD Name,Ward Number,Ward Region,Population,Comp_Learn_Ctr,Dig_Innov_Hubs,NIA,NIA_Branch,Programs_Cultural_2015,Attendance_Cultural_2015,Programs_ESL_2015,Attendance_ESL_2015,Program_Info_Current_Issues_2015,Attendance_Info_Current_Issues_2015,Programs_Literacy_2015,Attendance_Literacy_2015,Programs_Literary_2015,Attendance_Literary_2015,Programs_User_Ed_2015,Attendance_User_Ed_2015,Programs_Cultural_2014,Attendance_Cultural_2014,Programs_ESL_2014,Attendance_ESL_2014,Programs_Info_Current_Issues_2014,Attendance_Info_Current_Issues_2014,Programs_Literacy_2014,Attendance_Literacy_2014,Programs_Literary_2014,Attendance_Literary_2014,Programs_User_Ed_2014,Attendance_User_Ed_2014,Workstations,WS_Users_2015,WS_Users_2014,WS_Users_2013,visits_2015,visits_2014,visits_2013,circulation_2015,circulation_2014,circulation_2013,collection_size,Youth_Hub,census_population,NPS_population,citizens,non_citizens,recent_immigrants,visible_minority,non_official_languages,in_labour_force,employed,unemployed,not_in_labour_force,low_income
WP,Woodview Park,NL,16 Bradstock Rd,(416) 395-5960,M9M 1M8,M9M,22,Humbermede ,7,York West,9800,False,False,True,True,15,309,,,11,405,12,87,153,3310,2,110,9,327,,,10,242,12,123,81,1351,,,7,21425,19200,16737.5,41450,37725,30575,77281,79759,87524,20889,False,9800.0,9785.0,8750.0,1020.0,530.0,4980.0,5555.0,4900.0,4380.0,520.0,3090.0,1520.0
YO,Yorkville,NL,22 Yorkville Ave,(416) 393-7660,M4W 1L4,M4W,95,Annex ,27,Toronto Centre-Rosedale ,46077,False,False,False,False,141,2877,,,26,509,,,237,4996,15,70,34,944,,,8,192,,,157,2677,10,29,7,32312.5,32850,32475,157850,177012.5,191050,319571,324428,325299,63434,False,46077.0,44315.0,36470.0,7855.0,3670.0,15000.0,19770.0,29005.0,26670.0,2335.0,13040.0,11405.0
TOD,Todmorden Room,NL,1081� Pape Ave ,(416) 396-3875,M4K 3W6,M4K,58,Old East York ,29,Toronto-Danforth ,20215,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,2,5437.5,6225,3300,28400,25937.5,17500,59787,56161,57785,7844,False,20215.0,20070.0,18070.0,2000.0,1430.0,5165.0,10210.0,11430.0,10375.0,1060.0,5885.0,4210.0
ND,Northern District,DL ,40 Orchard View Blvd,(416) 393-7610,M4R 1B9,M4R,100,Yonge-Eglinton,16,Eglinton-Lawrence ,30634,True,False,False,False,170,3600,,,91,1933,12,499,206,4771,3,57,96,2051,,,51,1872,12,466,182,4653,2,12,25,112234.5,106576.5,117776.5,306319,299729,328400,453583,464453,492887,125597,False,30634.0,30645.0,27125.0,3520.0,2120.0,6855.0,10735.0,19820.0,18455.0,1365.0,7175.0,4450.0
AB,Albion,DL,1515 Albion Rd,(416) 394-5170,M9V 1B2,M9V,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North,48697,True,False,True,True,301,8422,39,192,131,3852,12,802,395,9560,82,971,292,6982,41,244,65,2448,10,574,304,6908,84,701,28,142186.5,142159,139401.5,194587,401819,432525,353764,398248,466776,116372,False,48697.0,48540.0,38190.0,10345.0,7435.0,39340.0,31935.0,22435.0,19450.0,2980.0,15225.0,11195.0
PM,Palmerston,NL,560 Palmerston Ave,(416) 393-7680,M6G 2P7,M6G,95,Annex,20,Trinity-Spadina ,8040,False,False,False,False,80,2047,,,21,503,,,134,2847,9,233,40,1333,,,20,648,,,116,3015,1,7,6,18800,19987.5,20862.5,93587.5,109425,115625,215454,218377,222670,33551,False,8040.0,7615.0,6985.0,630.0,230.0,1550.0,3085.0,5030.0,4555.0,480.0,1705.0,1020.0
PA,Pape Danforth,DL ,701 Pape Ave,(416) 393-7727,M4K 3S6,M4K,69,Blake-Jones ,30,Toronto-Danforth ,26128,False,False,False,False,71,1740,87,810,88,1640,10,141,238,5414,2,7,63,2040,86,653,39,560,10,354,248,5925,13,77,14,75403.5,71899,72263,229683,239356.5,257275,425823,424425,437861,57394,False,26128.0,25890.0,24195.0,1695.0,805.0,7170.0,9785.0,14670.0,13450.0,1215.0,7340.0,4565.0
DT,Davenport,NL,1246 Shaw St,(416) 393-7732,M6G 3P1,M6G,94,Wychwood ,21,St. Paul's ,9792,False,False,False,False,12,501,,,28,661,12,247,64,1518,3,6,10,251,,,5,112,12,253,65,1344,,,3,6687.5,7150,7000,39975,42150,39262.5,126743,120646,120435,11718,False,9792.0,9115.0,8300.0,820.0,405.0,2595.0,4490.0,5025.0,4715.0,305.0,2785.0,1640.0
NE,Northern Elms,NL,"123 B Rexdale Blvd, Unit 5",(416) 394-5230,M9W 1P1,M9W,1,West Humber-Clairville,2,Etobicoke North ,16453,False,False,False,True,67,391,7,9,5,136,,,102,1663,2,76,84,719,,,7,78,,,38,294,,,5,11325,12937.5,13700,35162.5,34300,41187.5,83841,89817,95443,25978,False,16453.0,16440.0,14450.0,2000.0,1265.0,8650.0,8895.0,8100.0,7135.0,965.0,5140.0,3070.0
EG,Evelyn Gregory,NL,120 Trowell Ave,(416) 394-1006,M6M 1L7,M6M,110,Keelesdale-Eglinton West,12,York South-Weston ,18116,False,False,True,True,62,1192,,,22,318,,,124,2767,3,40,64,1716,,,8,103,3,25,195,4202,1,6,11,34325,33350,29787.5,52900,56200,60925,81207,83330,82785,37672,False,18116.0,18105.0,14510.0,3595.0,1610.0,7850.0,11680.0,9505.0,8510.0,1010.0,5505.0,3830.0
